cod_ibge,cod_mun6,nome_mun,ano,pop,casos
3540853,354085,Pracinha,2014,2772,0
3540903,354090,Pradópolis,2014,17381,12
3541000,354100,Praia Grande,2014,292210,373
3541059,354105,Pratânia,2014,4774,2
3541109,354110,Presidente Alves,2014,4052,4
3541208,354120,Presidente Bernardes,2014,13947,13
3541307,354130,Presidente Epitácio,2014,40950,64
3541406,354140,Presidente Prudente,2014,214121,235
3541505,354150,Presidente Venceslau,2014,37239,21
3541604,354160,Promissão,2014,35766,496
3541653,354165,Quadra,2014,3294,0
3541703,354170,Quatá,2014,12941,11
3541802,354180,Queiroz,2014,2954,7
3541901,354190,Queluz,2014,10616,10
3542008,354200,Quintana,2014,6331,5
3542107,354210,Rafard,2014,8727,11
3542206,354220,Rancharia,2014,28840,79
3542305,354230,Redenção da Serra,2014,4106,40
3542404,354240,Regente Feijó,2014,19094,9
3542503,354250,Reginópolis,2014,7431,1
3542602,354260,Registro,2014,56417,21
3542701,354270,Restinga,2014,6516,5
3542800,354280,Ribeira,2014,3294,0
3542909,354290,Ribeirão Bonito,2014,11854,229
3543006,354300,Ribeirão Branco,2014,18380,0
3543105,354310,Ribeirão Corrente,2014,4396,52
3543204,354320,Ribeirão do Sul,2014,4528,4
3543238,354323,Ribeirão dos Índios,2014,2148,1
3543253,354325,Ribeirão Grande,2014,7517,4
3543303,354330,Ribeirão Pires,2014,114665,16
3543402,354340,Ribeirão Preto,2014,637534,437
3543501,354350,Riversul,2014,5997,2
3543600,354360,Rifaina,2014,3638,48
3543709,354370,Rincão,2014,10042,3
3543808,354380,Rinópolis,2014,9774,11
3543907,354390,Rio Claro,2014,191717,693
3544004,354400,Rio das Pedras,2014,30209,15
3544103,354410,Rio Grande da Serra,2014,44330,16
3544202,354420,Riolândia,2014,10505,38
3544251,354425,Rosana,2014,19104,759
3544301,354430,Roseira,2014,10061,29
3544400,354440,Rubiácea,2014,2716,7
3544509,354450,Rubinéia,2014,3185,137
3544608,354460,Sabino,2014,5235,1
3544707,354470,Sagres,2014,2435,3
3544806,354480,Sales,2014,5833,20
3544905,354490,Sales Oliveira,2014,10900,90
3545001,354500,Salesópolis,2014,15574,5
3545100,354510,Salmourão,2014,4822,20
3545159,354515,Saltinho,2014,7432,11
3545209,354520,Salto,2014,114961,155
3545308,354530,Salto de Pirapora,2014,41513,10
3545407,354540,Salto Grande,2014,8933,8
3545506,354550,Sandovalina,2014,3710,14
3545605,354560,Santa Adélia,2014,14254,10
3545704,354570,Santa Albertina,2014,5961,7
3545803,354580,Santa Bárbara d'Oeste,2014,181668,3338
3546009,354600,Santa Branca,2014,13929,31
3546108,354610,Santa Clara d'Oeste,2014,2264,5
3546207,354620,Santa Cruz da Conceição,2014,4135,22
3546256,354625,Santa Cruz da Esperança,2014,2050,0
3546306,354630,Santa Cruz das Palmeiras,2014,29791,46
3546405,354640,Santa Cruz do Rio Pardo,2014,44876,59
3546504,354650,Santa Ernestina,2014,5793,2
3546603,354660,Santa Fé do Sul,2014,31042,88
3546702,354670,Santa Gertrudes,2014,22371,60
3546801,354680,Santa Isabel,2014,51593,56
3546900,354690,Santa Lúcia,2014,7986,23
3547007,354700,Santa Maria da Serra,2014,5360,46
3547106,354710,Santa Mercedes,2014,2902,2
3547205,354720,Santana da Ponte Pensa,2014,1652,5
3547304,354730,Santana de Parnaíba,2014,123415,430
3547403,354740,Santa Rita d'Oeste,2014,2631,3
3547502,354750,Santa Rita do Passa Quatro,2014,26049,67
3547601,354760,Santa Rosa de Viterbo,2014,23880,48
3547650,354765,Santa Salete,2014,1513,4
3547700,354770,Santo Anastácio,2014,19717,28
3547809,354780,Santo André,2014,703904,481
3547908,354790,Santo Antônio da Alegria,2014,6457,1
3548005,354800,Santo Antônio de Posse,2014,21540,390
3548054,354805,Santo Antônio do Aracanguá,2014,7924,113
3548104,354810,Santo Antônio do Jardim,2014,6007,3
3548203,354820,Santo Antônio do Pinhal,2014,6732,1
3548302,354830,Santo Expedito,2014,2860,0
3548401,354840,Santópolis do Aguapeí,2014,4181,16
3548500,354850,Santos,2014,421777,3646
3548609,354860,São Bento do Sapucaí,2014,10939,3
3548708,354870,São Bernardo do Campo,2014,785220,635
3548807,354880,São Caetano do Sul,2014,155347,82
3548906,354890,São Carlos,2014,233020,357
3549003,354900,São Francisco,2014,2753,27
3549102,354910,São João da Boa Vista,2014,86790,596
3549201,354920,São João das Duas Pontes,2014,2604,1
3549250,354925,São João de Iracema,2014,1794,7
3549300,354930,São João do Pau d'Alho,2014,2159,22
3549409,354940,São Joaquim da Barra,2014,47434,122
3549508,354950,São José da Bela Vista,2014,8184,0
3549607,354960,São José do Barreiro,2014,4027,16
3549706,354970,São José do Rio Pardo,2014,52153,52
3549805,354980,São José do Rio Preto,2014,433339,1233
3549904,354990,São José dos Campos,2014,654803,913
3549953,354995,São Lourenço da Serra,2014,14710,14
3550001,355000,São Luiz do Paraitinga,2014,10429,25
3550100,355010,São Manuel,2014,38129,5
